Reporting Area,MMWR YEAR,MMWR WEEK,"All causes, by age (years), All Ages**","All causes, by age (years), All Ages**, flag","All causes, by age (years), >=65","All causes, by age (years), >=65, flag","All causes, by age (years), 45-64","All causes, by age (years), 45-64, flag","All causes, by age (years), 25-44","All causes, by age (years), 25-44, flag","All causes, by age (years), 1-24","All causes, by age (years), 1-24, flag","All causes, by age (years), LT 1","All causes, by age (years), LT 1, flag",P&I Total,"P&I Total, flag",Location 1,Location 2
"Spokane, WA",2016,2,69,,54,,13,,2,,,-,,-,3,,"Spokane, WA (47.658999, -117.425022)",
"Tampa, FL",2016,2,140,,95,,30,,8,,3,,4,,8,,"Tampa, FL (37.8606, -78.804199)",
"Miami, FL",2016,2,50,,38,,6,,5,,1,,,-,7,,"Miami, FL (44.977479, -93.264346)",
"Glendale, CA",2016,2,50,,42,,7,,1,,,-,,-,13,,"Glendale, CA (34.148138, -118.246437)",
"Somerville, MA",2016,2,3,,2,,1,,,-,,-,,-,,-,"Somerville, MA (42.389121, -71.097145)",
"Wichita, KS",2016,2,97,,66,,23,,4,,2,,2,,8,,"Wichita, KS (39.960481, -75.605214)",
"Bridgeport, CT",2016,2,37,,29,,5,,1,,2,,,-,3,,"Bridgeport, CT (41.179195, -73.189476)",
"Indianapolis, IN",2016,2,217,,126,,64,,19,,3,,5,,22,,"Indianapolis, IN (39.76845, -86.156212)",
"Lansing, MI",2016,2,69,,48,,16,,4,,,-,1,,4,,"Lansing, MI (42.733625, -84.553927)",
"Columbus, OH",2016,2,287,,190,,69,,12,,6,,10,,24,,"Columbus, OH (39.920765, -82.80058)",
"Baltimore, MD",2016,2,131,,73,,44,,9,,2,,3,,10,,"Baltimore, MD (39.290443, -76.612333)",
"Fall River, MA",2016,2,29,,20,,7,,2,,,-,,-,3,,"Fall River, MA (41.701025, -71.155389)",
"Providence, RI",2016,2,65,,46,,10,,9,,,-,,-,6,,"Providence, RI (41.824461, -71.412747)",
"Fresno, CA",2016,2,175,,122,,41,,8,,1,,3,,16,,"Fresno, CA (36.731654, -119.785856)",
"Pueblo, CO",2016,2,26,,17,,7,,2,,,-,,-,2,,"Pueblo, CO (28.151559, -82.351822)",
"Nashville, TN",2016,2,184,,120,,46,,11,,2,,5,,16,,"Nashville, TN (36.166687, -86.779932)",
"Gary, IN",2016,2,15,,11,,3,,1,,,-,,-,2,,"Gary, IN (42.375508, -87.924192)",
"Duluth, MN",2016,2,37,,26,,8,,3,,,-,,-,2,,"Duluth, MN (28.917512, -81.221278)",
"Rochester, NY",2016,2,144,,102,,31,,8,,1,,2,,11,,"Rochester, NY (43.155708, -77.612547)",
"Richmond, VA",2016,2,58,,33,,15,,5,,3,,2,,2,,"Richmond, VA (37.540759, -77.433932)",
"New Haven, CT",2016,2,19,,15,,3,,1,,,-,,-,2,,"New Haven, CT (42.856701, -78.741699)",
New England,2016,3,573,,403,,126,,30,,6,,8,,43,,,
Mid. Atlantic,2016,3,1770,,1296,,362,,74,,21,,17,,82,,,
E.N. Central,2016,3,2203,,1503,,501,,124,,45,,30,,137,,,
W.N. Central,2016,3,692,,450,,167,,41,,18,,15,,54,,,
S. Atlantic,2016,3,1279,,828,,311,,76,,29,,16,,89,,,
E.S. Central,2016,3,964,,625,,239,,63,,18,,19,,71,,,
W.S. Central,2016,3,1466,,984,,335,,99,,25,,23,,94,,,
Mountain,2016,3,1348,,922,,295,,77,,32,,21,,79,,,
Pacific,2016,3,1855,,1383,,370,,67,,19,,16,,177,,,
Total_,2016,3,12150,,8394,,2706,,651,,213,,165,,826,,,
"Los Angeles, CA",2016,3,292,,205,,67,,13,,2,,5,,35,,"Los Angeles, CA (34.052238, -118.243344)",
"Lincoln, NC",2016,3,39,,31,,5,,3,,,-,,-,3,,"Lincoln, NC (40.813599, -96.70261)",
"Grand Rapids, MI",2016,3,65,,49,,11,,3,,1,,1,,3,,"Grand Rapids, MI (47.925705, -97.036068)",
"Richmond, VA",2016,3,77,,49,,22,,2,,2,,2,,4,,"Richmond, VA (37.540759, -77.433932)",
"Montgomery, AL",2016,3,45,,35,,7,,2,,1,,,-,1,,"Montgomery, AL (32.376547, -86.299651)",
"Santa Cruz, CA",2016,3,33,,29,,3,,1,,,-,,-,2,,"Santa Cruz, CA (32.71576, -117.163817)",
"New Orleans, LA",2016,3,77,,47,,13,,14,,2,,1,,,-,"New Orleans, LA (29.950621, -90.074948)",
"Rochester, NY",2016,3,139,,106,,28,,4,,1,,,-,6,,"Rochester, NY (43.155708, -77.612547)",
"Cleveland, OH",2016,3,301,,216,,63,,17,,3,,2,,13,,"Cleveland, OH (41.505546, -81.6915)",
"San Francisco, CA",2016,3,105,,86,,16,,1,,1,,1,,15,,"San Francisco, CA (37.78008, -122.420168)",
"Scranton, PA",2016,3,26,,18,,6,,2,,,-,,-,,-,"Scranton, PA (41.409113, -75.662346)",
"Hartford, CT",2016,3,64,,44,,15,,2,,,-,3,,7,,"Hartford, CT (41.765775, -72.673356)",
"Yonkers, NY",2016,3,17,,12,,3,,1,,,-,1,,2,,"Yonkers, NY (40.932014, -73.896052)",
"Syracuse, NY",2016,3,63,,51,,7,,5,,,-,,-,5,,"Syracuse, NY (43.047945, -76.147448)",
"Elizabeth, NJ",2016,3,21,,18,,3,,,-,,-,,-,3,,"Elizabeth, NJ (40.661927, -74.211653)",
"Birmingham, AL",2016,3,175,,114,,39,,13,,5,,4,,22,,"Birmingham, AL (33.522859, -86.807705)",
"Dayton, OH",2016,3,112,,85,,18,,5,,2,,2,,4,,"Dayton, OH (39.760982, -84.192203)",
"New Bedford, MA",2016,3,20,,16,,4,,,-,,-,,-,,-,"New Bedford, MA (41.63405, -70.92766)",
"Norfolk, VA",2016,3,30,,16,,11,,1,,1,,1,,2,,"Norfolk, VA (36.846164, -76.285913)",
"Baltimore, MD",2016,3,248,,145,,68,,23,,9,,3,,16,,"Baltimore, MD (39.290443, -76.612333)",
"Tacoma, WA",2016,3,147,,108,,32,,5,,1,,1,,12,,"Tacoma, WA (32.221878, -110.971225)",
"Utica, NY",2016,3,6,,5,,1,,,-,,-,,-,,-,"Utica, NY (39.800598, -104.997498)",
"Boston, MA",2016,3,139,,94,,32,,12,,,-,1,,9,,"Boston, MA (42.358894, -71.056742)",
"Fort Worth, TX",2016,3,,U,,U,,U,,U,,U,,U,,U,"Fort Worth, TX (32.739977, -97.340038)",
"Columbus, OH",2016,3,255,,163,,67,,15,,6,,4,,19,,"Columbus, OH (39.920765, -82.80058)",
"Allentown, PA",2016,3,23,,16,,7,,,-,,-,,-,2,,"Allentown, PA (40.602753, -75.469759)",
"Pittsburgh, PA_",2016,3,,U,,U,,U,,U,,U,,U,,U,"Pittsburgh, PA (40.442169, -79.994945)",
"Schenectady, NY",2016,3,25,,19,,5,,1,,,-,,-,3,,"Schenectady, NY (42.814219, -73.944103)",
"Toledo, OH",2016,3,133,,88,,38,,7,,,-,,-,8,,"Toledo, OH (41.655298, -83.535717)",
"Colorado Springs, CO",2016,3,57,,33,,14,,9,,1,,,-,1,,"Colorado Springs, CO (38.835224, -104.819798)",
"Fall River, MA",2016,3,12,,11,,,-,1,,,-,,-,,-,"Fall River, MA (41.701025, -71.155389)",
"Salt Lake City, UT",2016,3,132,,85,,29,,12,,5,,1,,6,,"Salt Lake City, UT (40.758478, -111.888142)",
"Dallas, TX",2016,3,239,,143,,59,,19,,9,,9,,24,,"Dallas, TX (37.691113, -122.472221)",
"Cambridge, MA",2016,3,22,,17,,3,,2,,,-,,-,3,,"Cambridge, MA (42.365248, -71.105015)",
"Peoria, IL",2016,3,74,,51,,17,,5,,,-,1,,7,,"Peoria, IL (32.283586, -90.10038)",
"St. Louis, MO",2016,3,77,,38,,29,,3,,3,,3,,5,,"St. Louis, MO (38.630276, -90.200309)",
"Tulsa, OK",2016,3,159,,111,,36,,10,,1,,1,,14,,"Tulsa, OK (61.096484, -160.967455)",
"Minneapolis, MN",2016,3,96,,55,,30,,6,,2,,3,,11,,"Minneapolis, MN (44.977479, -93.264346)",
"Miami, FL",2016,3,58,,43,,12,,1,,1,,1,,6,,"Miami, FL (44.977479, -93.264346)",
"Lansing, MI",2016,3,48,,35,,10,,1,,1,,1,,3,,"Lansing, MI (42.733625, -84.553927)",
"Rockford, IL",2016,3,50,,40,,7,,3,,,-,,-,2,,"Rockford, IL (42.266802, -89.088377)",
"Houston, TX",2016,3,,U,,U,,U,,U,,U,,U,,U,"Houston, TX (29.760803, -95.369506)",
"Sacramento, CA",2016,3,239,,180,,48,,9,,2,,,-,15,,"Sacramento, CA (38.582087, -121.50012)",
"Phoenix, AZ",2016,3,232,,144,,54,,14,,13,,6,,12,,"Phoenix, AZ (30.406931, -87.217578)",
"Atlanta, GA",2016,3,169,,102,,47,,13,,6,,1,,10,,"Atlanta, GA (33.748547, -84.391502)",
"Erie, PA",2016,3,65,,53,,10,,2,,,-,,-,2,,"Erie, PA (34.1647, -114.300301)",
"Des Moines, IA",2016,3,,-,,-,,-,,-,,-,,-,,-,"Des Moines, IA (41.588822, -93.620309)",
"Honolulu, HI",2016,3,92,,66,,23,,2,,1,,,-,11,,"Honolulu, HI (21.30992, -157.858158)",
"Ogden, UT",2016,3,45,,34,,5,,6,,,-,,-,4,,"Ogden, UT (41.222761, -111.970419)",
"Cincinnati, OH",2016,3,70,,38,,24,,3,,2,,3,,2,,"Cincinnati, OH (39.104427, -84.513808)",
"Memphis, TN",2016,3,195,,129,,47,,9,,6,,4,,20,,"Memphis, TN (35.143378, -90.052136)",
"Evansville, IN",2016,3,58,,48,,8,,1,,1,,,-,3,,"Evansville, IN (37.975708, -87.569907)",
"Trenton, NJ",2016,3,,U,,U,,U,,U,,U,,U,,U,"Trenton, NJ (40.220572, -74.759709)",
"Wichita, KS",2016,3,101,,68,,21,,8,,2,,2,,7,,"Wichita, KS (39.960481, -75.605214)",
"Omaha, NE",2016,3,113,,75,,30,,5,,1,,2,,7,,"Omaha, NE (46.07035, -93.666319)",
"Youngstown, OH",2016,3,81,,65,,14,,1,,1,,,-,5,,"Youngstown, OH (41.100083, -80.649387)",
"Las Vegas, NV",2016,3,379,,254,,96,,14,,6,,9,,33,,"Las Vegas, NV (36.169202, -115.140597)",
"Boise, ID",2016,3,56,,43,,11,,2,,,-,,-,,-,"Boise, ID (43.597772, -83.884521)",
"Lynn, MA",2016,3,3,,2,,1,,,-,,-,,-,1,,"Lynn, MA (20.841375, -156.933118)",
"Corpus Christi, TX",2016,3,96,,71,,22,,2,,,-,1,,11,,"Corpus Christi, TX (27.796416, -97.404131)",
"San Jose, CA",2016,3,216,,164,,40,,5,,5,,2,,15,,"San Jose, CA (35.398134, -105.477067)",
"Reading, PA",2016,3,36,,29,,6,,,-,,-,1,,1,,"Reading, PA (40.336919, -75.921965)",
"Gary, IN",2016,3,14,,10,,4,,,-,,-,,-,,-,"Gary, IN (42.375508, -87.924192)",
"Jacksonville, FL",2016,3,178,,121,,46,,6,,3,,2,,8,,"Jacksonville, FL (30.325968, -81.65676)",
"Akron, OH",2016,3,62,,40,,15,,3,,2,,2,,5,,"Akron, OH (41.084821, -81.515607)",
"Berkeley, CA",2016,3,20,,17,,2,,,-,,-,1,,1,,"Berkeley, CA (40.692529, -73.990996)",
"Glendale, CA",2016,3,52,,39,,10,,3,,,-,,-,12,,"Glendale, CA (34.148138, -118.246437)",
"Springfield, MA",2016,3,47,,31,,9,,5,,1,,1,,,-,"Springfield, MA (39.79936, -89.643624)",
"Tampa, FL",2016,3,122,,80,,34,,6,,2,,,-,11,,"Tampa, FL (37.8606, -78.804199)",
"St. Petersburg, FL",2016,3,75,,50,,4,,,-,2,,,-,9,,"St. Petersburg, FL (27.772069, -82.638488)",
"Milwaukee, WI",2016,3,83,,47,,27,,5,,4,,,-,3,,"Milwaukee, WI (43.041072, -87.909421)",
"Fort Wayne, IN",2016,3,87,,63,,18,,5,,1,,,-,5,,"Fort Wayne, IN (41.331128, -73.987189)",
"Philadelphia, PA",2016,3,,U,,U,,U,,U,,U,,U,,U,"Philadelphia, PA (39.951061, -75.16562)",
"Portland, OR",2016,3,125,,98,,26,,1,,,-,,-,3,,"Portland, OR (45.516018, -122.681425)",
"Duluth, MN",2016,3,34,,24,,6,,1,,3,,,-,3,,"Duluth, MN (28.917512, -81.221278)",
"New Haven, CT",2016,3,34,,19,,11,,2,,2,,,-,2,,"New Haven, CT (42.856701, -78.741699)",
"San Antonio, TX",2016,3,317,,215,,80,,11,,6,,5,,21,,"San Antonio, TX (29.425173, -98.494599)",
"Washington, D.C.",2016,3,99,,69,,19,,7,,1,,3,,9,,"Washington, D.C. (38.892062, -77.019912)",
"Shreveport, LA",2016,3,77,,50,,14,,12,,1,,,-,9,,"Shreveport, LA (32.51424, -93.747757)",
"Somerville, MA",2016,3,4,,3,,,-,1,,,-,,-,,-,"Somerville, MA (42.389121, -71.097145)",
"Spokane, WA",2016,3,66,,54,,9,,2,,1,,,-,4,,"Spokane, WA (47.658999, -117.425022)",
"Baton Rouge, LA",2016,3,125,,89,,26,,8,,1,,1,,2,,"Baton Rouge, LA (30.443319, -91.187488)",
"Denver, CO",2016,3,45,,30,,8,,3,,1,,3,,2,,"Denver, CO (39.738453, -104.984853)",
"Kansas City, KS",2016,3,41,,25,,10,,3,,2,,1,,5,,"Kansas City, KS (39.099792, -94.578559)",
"Camden, NJ",2016,3,18,,13,,4,,1,,,-,,-,,-,"Camden, NJ (39.945208, -75.118833)",
"Mobile, AL",2016,3,117,,79,,28,,7,,1,,2,,10,,"Mobile, AL (34.661541, -77.695461)",
"Little Rock, AR",2016,3,78,,47,,20,,6,,2,,3,,4,,"Little Rock, AR (34.748745, -92.275105)",
"Buffalo, NY",2016,3,85,,66,,13,,3,,1,,2,,4,,"Buffalo, NY (39.945422, -78.64671)",
"Waterbury, CT",2016,3,35,,25,,7,,2,,1,,,-,2,,"Waterbury, CT (41.554261, -73.043069)",
"Kansas City, MO",2016,3,122,,90,,18,,10,,3,,1,,10,,"Kansas City, MO (39.099792, -94.578559)",
"Seattle, WA",2016,3,,-,,-,,-,,-,,-,,-,,-,"Seattle, WA (47.603229, -122.33028)",
"Albuquerque, NM",2016,3,165,,114,,39,,7,,5,,,-,13,,"Albuquerque, NM (35.084248, -106.649241)",
"Wilmington, DE",2016,3,12,,9,,2,,1,,,-,,-,1,,"Wilmington, DE (39.744432, -75.5451)",
"Worcester, MA",2016,3,60,,43,,13,,1,,1,,2,,11,,"Worcester, MA (42.262073, -71.802278)",
"Canton, OH",2016,3,35,,24,,8,,2,,,-,1,,2,,"Canton, OH (39.945208, -75.118833)",
"Austin, TX",2016,3,112,,77,,25,,8,,2,,,-,9,,"Austin, TX (30.264979, -97.746598)",
"South Bend, IN",2016,3,77,,55,,17,,3,,1,,1,,8,,"South Bend, IN (41.675032, -86.251962)",
"St. Paul, MN",2016,3,69,,44,,18,,2,,2,,3,,3,,"St. Paul, MN (44.943719, -93.094281)",
"Jersey City, NJ",2016,3,18,,12,,6,,,-,,-,,-,1,,"Jersey City, NJ (40.717495, -74.044111)",
"Lowell, MA",2016,3,26,,20,,5,,1,,,-,,-,5,,"Lowell, MA (40.672798, -76.279404)",
"Savannah, GA",2016,3,86,,56,,21,,6,,2,,1,,6,,"Savannah, GA (40.115007, -111.654713)",
"Lexington, KY",2016,3,95,,52,,29,,10,,2,,2,,,-,"Lexington, KY (34.052238, -118.243344)",
"Bridgeport, CT",2016,3,37,,27,,10,,,-,,-,,-,,-,"Bridgeport, CT (41.179195, -73.189476)",
"Long Beach, CA",2016,3,92,,70,,14,,8,,,-,,-,19,,"Long Beach, CA (33.767168, -118.193723)",
"Albany, NY",2016,3,60,,40,,14,,2,,2,,2,,5,,"Albany, NY (42.651242, -73.755418)",
"Fresno, CA",2016,3,169,,118,,38,,10,,,-,3,,17,,"Fresno, CA (36.731654, -119.785856)",
"Pueblo, CO",2016,3,21,,13,,5,,3,,,-,,-,,-,"Pueblo, CO (28.151559, -82.351822)",
"New York City, NY",2016,3,1093,,796,,225,,49,,15,,8,,41,,"New York City, NY (40.123164, -75.333718)",
"Indianapolis, IN",2016,3,178,,127,,27,,15,,3,,6,,20,,"Indianapolis, IN (39.76845, -86.156212)",
"Detroit, MI",2016,3,156,,82,,52,,11,,8,,3,,6,,"Detroit, MI (42.332916, -83.047853)",
"Chattanooga, TN",2016,3,65,,40,,19,,5,,,-,1,,7,,"Chattanooga, TN (35.045756, -85.308287)",
"Charlotte, NC",2016,3,125,,88,,25,,10,,,-,2,,7,,"Charlotte, NC (35.222936, -80.840161)",
"Knoxville, TN",2016,3,113,,71,,31,,8,,1,,2,,7,,"Knoxville, TN (35.962631, -83.916677)",
"Chicago, IL",2016,3,264,,177,,56,,19,,9,,3,,19,,"Chicago, IL (41.775002, -87.696388)",
"Tucson, AZ",2016,3,216,,172,,34,,7,,1,,2,,8,,"Tucson, AZ (35.167852, -103.726151)",
"El Paso, TX",2016,3,186,,134,,40,,9,,1,,2,,,-,"El Paso, TX (31.76006, -106.492257)",
"Providence, RI",2016,3,70,,51,,16,,1,,1,,1,,3,,"Providence, RI (41.824461, -71.412747)",
"Nashville, TN",2016,3,159,,105,,39,,9,,2,,4,,4,,"Nashville, TN (36.166687, -86.779932)",
"Pasadena, CA",2016,3,31,,27,,2,,2,,,-,,-,4,,"Pasadena, CA (34.14955, -118.141452)",
"San Diego, CA",2016,3,176,,122,,40,,5,,6,,3,,12,,"San Diego, CA (32.71576, -117.163817)",
"Newark, NJ",2016,3,54,,30,,17,,4,,2,,1,,5,,"Newark, NJ (41.433057, -71.460182)",
"Paterson, NJ",2016,3,21,,12,,7,,,-,,-,2,,2,,"Paterson, NJ (40.916612, -74.172191)",
New England,2016,4,571,,394,,122,,40,,3,,12,,39,,,
Mid. Atlantic,2016,4,1867,,1354,,392,,75,,28,,18,,77,,,
E.N. Central,2016,4,2355,,1583,,551,,132,,44,,45,,142,,,
W.N. Central,2016,4,640,,414,,153,,36,,18,,18,,53,,,
S. Atlantic,2016,4,1285,,796,,334,,90,,35,,30,,90,,,
E.S. Central,2016,4,851,,565,,198,,54,,20,,14,,66,,,
W.S. Central,2016,4,1719,,1146,,402,,103,,37,,31,,117,,,
Mountain,2016,4,1413,,960,,316,,78,,33,,26,,106,,,
Pacific,2016,4,1845,,1291,,400,,103,,24,,27,,160,,,
Total_,2016,4,12546,,8503,,2868,,711,,242,,221,,850,,,
"Camden, NJ",2016,4,19,,10,,7,,,-,,-,2,,,-,"Camden, NJ (39.945208, -75.118833)",
"Omaha, NE",2016,4,99,,62,,25,,7,,4,,1,,9,,"Omaha, NE (46.07035, -93.666319)",
"San Jose, CA",2016,4,224,,172,,39,,9,,2,,2,,12,,"San Jose, CA (35.398134, -105.477067)",
"Somerville, MA",2016,4,1,,1,,,-,,-,,-,,-,,-,"Somerville, MA (42.389121, -71.097145)",
"New Haven, CT",2016,4,32,,20,,10,,2,,,-,,-,4,,"New Haven, CT (42.856701, -78.741699)",
"Boise, ID",2016,4,68,,53,,13,,1,,,-,1,,4,,"Boise, ID (43.597772, -83.884521)",
"Knoxville, TN",2016,4,135,,95,,30,,4,,4,,2,,18,,"Knoxville, TN (35.962631, -83.916677)",
"Peoria, IL",2016,4,74,,53,,12,,6,,,-,3,,10,,"Peoria, IL (32.283586, -90.10038)",
"Cincinnati, OH",2016,4,78,,46,,23,,4,,2,,3,,2,,"Cincinnati, OH (39.104427, -84.513808)",
"Fort Wayne, IN",2016,4,110,,79,,24,,4,,2,,1,,6,,"Fort Wayne, IN (41.331128, -73.987189)",
"Lexington, KY",2016,4,105,,72,,22,,6,,4,,1,,2,,"Lexington, KY (34.052238, -118.243344)",
"Denver, CO",2016,4,54,,23,,18,,3,,2,,8,,4,,"Denver, CO (39.738453, -104.984853)",
"Schenectady, NY",2016,4,23,,19,,4,,,-,,-,,-,,-,"Schenectady, NY (42.814219, -73.944103)",
"Pittsburgh, PA_",2016,4,,U,,U,,U,,U,,U,,U,,U,"Pittsburgh, PA (40.442169, -79.994945)",
"Dayton, OH",2016,4,149,,103,,32,,9,,3,,2,,9,,"Dayton, OH (39.760982, -84.192203)",
"Baltimore, MD",2016,4,278,,142,,95,,25,,10,,6,,24,,"Baltimore, MD (39.290443, -76.612333)",
"Baton Rouge, LA",2016,4,99,,70,,22,,2,,2,,3,,5,,"Baton Rouge, LA (30.443319, -91.187488)",
"Chattanooga, TN",2016,4,100,,68,,26,,4,,1,,1,,4,,"Chattanooga, TN (35.045756, -85.308287)",
"Milwaukee, WI",2016,4,100,,64,,24,,8,,2,,2,,3,,"Milwaukee, WI (43.041072, -87.909421)",
"Long Beach, CA",2016,4,80,,44,,27,,8,,1,,,-,13,,"Long Beach, CA (33.767168, -118.193723)",
"Duluth, MN",2016,4,40,,29,,9,,,-,2,,,-,7,,"Duluth, MN (28.917512, -81.221278)",
"Pasadena, CA",2016,4,26,,21,,2,,1,,2,,,-,3,,"Pasadena, CA (34.14955, -118.141452)",
"Waterbury, CT",2016,4,26,,17,,4,,4,,,-,1,,2,,"Waterbury, CT (41.554261, -73.043069)",
"Chicago, IL",2016,4,309,,200,,70,,27,,9,,3,,17,,"Chicago, IL (41.775002, -87.696388)",
"Wilmington, DE",2016,4,21,,17,,4,,,-,,-,,-,2,,"Wilmington, DE (39.744432, -75.5451)",
"Fresno, CA",2016,4,148,,106,,29,,9,,1,,3,,11,,"Fresno, CA (36.731654, -119.785856)",
"Memphis, TN",2016,4,,U,,U,,U,,U,,U,,U,,U,"Memphis, TN (35.143378, -90.052136)",
"San Diego, CA",2016,4,184,,131,,38,,12,,,-,3,,12,,"San Diego, CA (32.71576, -117.163817)",
"Birmingham, AL",2016,4,182,,110,,41,,21,,4,,6,,17,,"Birmingham, AL (33.522859, -86.807705)",
"Glendale, CA",2016,4,39,,33,,5,,1,,,-,,-,6,,"Glendale, CA (34.148138, -118.246437)",
"Canton, OH",2016,4,37,,23,,10,,4,,,-,,-,3,,"Canton, OH (39.945208, -75.118833)",
"Lincoln, NC",2016,4,49,,36,,9,,1,,1,,2,,7,,"Lincoln, NC (40.813599, -96.70261)",
"Toledo, OH",2016,4,101,,66,,30,,4,,,-,1,,3,,"Toledo, OH (41.655298, -83.535717)",
"Los Angeles, CA",2016,4,337,,216,,86,,20,,9,,6,,46,,"Los Angeles, CA (34.052238, -118.243344)",
"Jersey City, NJ",2016,4,25,,17,,7,,1,,,-,,-,1,,"Jersey City, NJ (40.717495, -74.044111)",
"Gary, IN",2016,4,22,,13,,8,,1,,,-,,-,1,,"Gary, IN (42.375508, -87.924192)",
"Cleveland, OH",2016,4,315,,230,,65,,9,,4,,7,,7,,"Cleveland, OH (41.505546, -81.6915)",
"New Bedford, MA",2016,4,31,,23,,5,,3,,,-,,-,1,,"New Bedford, MA (41.63405, -70.92766)",
"Minneapolis, MN",2016,4,78,,47,,18,,3,,2,,8,,9,,"Minneapolis, MN (44.977479, -93.264346)",
"Spokane, WA",2016,4,57,,44,,9,,1,,,-,3,,3,,"Spokane, WA (47.658999, -117.425022)",
"Mobile, AL",2016,4,99,,72,,19,,7,,1,,,-,6,,"Mobile, AL (34.661541, -77.695461)",
"St. Louis, MO",2016,4,77,,38,,25,,7,,2,,5,,2,,"St. Louis, MO (38.630276, -90.200309)",
"Dallas, TX",2016,4,233,,148,,55,,22,,3,,5,,20,,"Dallas, TX (37.691113, -122.472221)",
"El Paso, TX",2016,4,127,,92,,26,,7,,1,,1,,,-,"El Paso, TX (31.76006, -106.492257)",
"Kansas City, MO",2016,4,96,,67,,18,,6,,3,,1,,7,,"Kansas City, MO (39.099792, -94.578559)",
"Lowell, MA",2016,4,31,,19,,9,,2,,1,,,-,3,,"Lowell, MA (40.672798, -76.279404)",
"Montgomery, AL",2016,4,58,,38,,16,,3,,1,,,-,6,,"Montgomery, AL (32.376547, -86.299651)",
"New York City, NY",2016,4,1034,,746,,222,,41,,15,,10,,29,,"New York City, NY (40.123164, -75.333718)",
"Tucson, AZ",2016,4,198,,158,,35,,1,,1,,3,,5,,"Tucson, AZ (35.167852, -103.726151)",
"St. Paul, MN",2016,4,65,,50,,9,,3,,2,,1,,4,,"St. Paul, MN (44.943719, -93.094281)",
"Colorado Springs, CO",2016,4,78,,51,,19,,7,,1,,,-,4,,"Colorado Springs, CO (38.835224, -104.819798)",
"Elizabeth, NJ",2016,4,23,,15,,6,,2,,,-,,-,3,,"Elizabeth, NJ (40.661927, -74.211653)",
"Atlanta, GA",2016,4,203,,112,,57,,22,,4,,8,,17,,"Atlanta, GA (33.748547, -84.391502)",
"Tulsa, OK",2016,4,125,,85,,28,,8,,2,,2,,24,,"Tulsa, OK (61.096484, -160.967455)",
"Akron, OH",2016,4,53,,40,,10,,3,,,-,,-,3,,"Akron, OH (41.084821, -81.515607)",
"Des Moines, IA",2016,4,,-,,-,,-,,-,,-,,-,,-,"Des Moines, IA (41.588822, -93.620309)",
"Springfield, MA",2016,4,29,,26,,2,,,-,,-,1,,,-,"Springfield, MA (39.79936, -89.643624)",
"Fall River, MA",2016,4,35,,30,,4,,,-,1,,,-,4,,"Fall River, MA (41.701025, -71.155389)",
"Phoenix, AZ",2016,4,229,,133,,65,,16,,9,,6,,17,,"Phoenix, AZ (30.406931, -87.217578)",
"Lansing, MI",2016,4,57,,37,,17,,2,,1,,,-,5,,"Lansing, MI (42.733625, -84.553927)",
"Allentown, PA",2016,4,29,,19,,7,,2,,1,,,-,,-,"Allentown, PA (40.602753, -75.469759)",
"Lynn, MA",2016,4,6,,6,,,-,,-,,-,,-,1,,"Lynn, MA (20.841375, -156.933118)",
"Kansas City, KS",2016,4,40,,15,,20,,3,,2,,,-,2,,"Kansas City, KS (39.099792, -94.578559)",
"Norfolk, VA",2016,4,45,,28,,15,,1,,1,,,-,2,,"Norfolk, VA (36.846164, -76.285913)",
"Boston, MA",2016,4,139,,83,,39,,14,,1,,2,,9,,"Boston, MA (42.358894, -71.056742)",
"Buffalo, NY",2016,4,116,,84,,24,,4,,2,,2,,10,,"Buffalo, NY (39.945422, -78.64671)",
"Houston, TX",2016,4,429,,269,,112,,29,,12,,7,,14,,"Houston, TX (29.760803, -95.369506)",
"San Antonio, TX",2016,4,264,,194,,49,,13,,2,,6,,20,,"San Antonio, TX (29.425173, -98.494599)",
"South Bend, IN",2016,4,65,,47,,14,,3,,1,,,-,4,,"South Bend, IN (41.675032, -86.251962)",
"Erie, PA",2016,4,60,,43,,12,,3,,1,,1,,6,,"Erie, PA (34.1647, -114.300301)",
"Jacksonville, FL",2016,4,143,,87,,38,,9,,5,,4,,9,,"Jacksonville, FL (30.325968, -81.65676)",
"Little Rock, AR",2016,4,115,,67,,33,,8,,4,,3,,10,,"Little Rock, AR (34.748745, -92.275105)",
"Tampa, FL",2016,4,122,,85,,22,,7,,4,,4,,13,,"Tampa, FL (37.8606, -78.804199)",
"Utica, NY",2016,4,23,,17,,6,,,-,,-,,-,,-,"Utica, NY (39.800598, -104.997498)",
"Honolulu, HI",2016,4,99,,67,,21,,7,,1,,3,,8,,"Honolulu, HI (21.30992, -157.858158)",
"Austin, TX",2016,4,110,,81,,22,,2,,4,,1,,11,,"Austin, TX (30.264979, -97.746598)",
"Nashville, TN",2016,4,172,,110,,44,,9,,5,,4,,13,,"Nashville, TN (36.166687, -86.779932)",
"Syracuse, NY",2016,4,137,,108,,23,,5,,1,,,-,8,,"Syracuse, NY (43.047945, -76.147448)",
"Corpus Christi, TX",2016,4,60,,42,,16,,,-,1,,1,,5,,"Corpus Christi, TX (27.796416, -97.404131)",
"Charlotte, NC",2016,4,172,,116,,37,,13,,4,,2,,7,,"Charlotte, NC (35.222936, -80.840161)",
"Portland, OR",2016,4,,U,,U,,U,,U,,U,,U,,U,"Portland, OR (45.516018, -122.681425)",
